正则表达式名称,正则表达式模式,偏移量,内容,编码,长度,源文件
网站URL,^https?://[^\s]+,6356488,http://+:80/116B50EB-ECE2-41ac-8429-9F9E963361B7/,Ascii,,
网站URL,^https?://[^\s]+,6356624,https://+:443/C574AC30-5794-4AEE-B1BB-6651C5315029/,Ascii,,
网站URL,^https?://[^\s]+,14549040,http://www.w3.org/2000/09/xmldsig#,Ascii,,
网站URL,^https?://[^\s]+,16953376,https://www.virtualbox.org/ ,Ascii,,
网站URL,^https?://[^\s]+,39632484,http://ocsp.verisign.com0,Ascii,,
网站URL,^https?://[^\s]+,71770144,https://www.virtualbox.org/ ,Ascii,,
网站URL,^https?://[^\s]+,75588408,http://www.microsoft.com/provisioning/eaptlsconnectionpropertiesv1,Ascii,,
网站URL,^https?://[^\s]+,75588808,http://www.microsoft.com/provisioning/mschapv2connectionpropertiesv1,Ascii,,
网站URL,^https?://[^\s]+,75589232,http://www.microsoft.com/provisioning/mspeapconnectionpropertiesv1,Ascii,,
网站URL,^https?://[^\s]+,75589728,http://www.microsoft.com/provisioning/eaptlsuserpropertiesv1,Ascii,,
网站URL,^https?://[^\s]+,75590088,http://www.microsoft.com/provisioning/mschapv2userpropertiesv1,Ascii,,
网站URL,^https?://[^\s]+,75590472,http://www.microsoft.com/provisioning/mspeapuserpropertiesv1,Ascii,,
网站URL,^https?://[^\s]+,87885928,http://*:5357/n,Ascii,,
网站URL,^https?://[^\s]+,93867676,http://ocsp.verisign.com0,Ascii,,
网站URL,^https?://[^\s]+,96090504,http://*:2869/,Ascii,,
网站URL,^https?://[^\s]+,96797656,http://preview.services.wmdrm.windowsmedia.com,Ascii,,
网站URL,^https?://[^\s]+,101473960,https://*:5358/,Ascii,,
网站URL,^https?://[^\s]+,101474240,http://+:5985/wsman/l,Ascii,,
网站URL,^https?://[^\s]+,101474288,https://+:5986/w,Ascii,,
网站URL,^https?://[^\s]+,102511456,https://+:443/sra_{BA195980-CD49-458b-9E23-C84EE0ADCD75}/S_SSTP,Ascii,,
网站URL,^https?://[^\s]+,102512424,http://+:80/Temporary_Listen_Addresses/,Ascii,,
网站URL,^https?://[^\s]+,105415608,http://+:10243/WMPNSSv4/H,Ascii,,
网站URL,^https?://[^\s]+,105415728,https://+:10245/WMPNSSv4/,Ascii,,
网站URL,^https?://[^\s]+,107242828,http://www.microsoft.com0,Ascii,,
网站URL,^https?://[^\s]+,108993551,http://www.digicert.com/CPS0,Ascii,,
网站URL,^https?://[^\s]+,108993788,http://ocsp.digicert.com0O,Ascii,,
网站URL,^https?://[^\s]+,110538604,http://ns.adobe.com/xap/1.0/,Ascii,,
网站URL,^https?://[^\s]+,110538692,http://ns.adobe.com/xap/1.0/,Ascii,,
网站URL,^https?://[^\s]+,115288688,http://www.w3.org/1999/02/22-rdf-syntax-ns#,Ascii,,
网站URL,^https?://[^\s]+,115288736,http://purl.org/rss/1.0/,Ascii,,
网站URL,^https?://[^\s]+,117083860,http://www.microsoft.com0,Ascii,,
网站URL,^https?://[^\s]+,121573780,http://www.microsoft.com0,Ascii,,
网站URL,^https?://[^\s]+,121986344,http://www.microsoft.com0,Ascii,,
网站URL,^https?://[^\s]+,122806304,https://www.virtualbox.org/ ,Ascii,,
网站URL,^https?://[^\s]+,133612512,http://www.microsoft.com0,Ascii,,
网站URL,^https?://[^\s]+,138867728,http://www.microsoft.com0,Ascii,,
网站URL,^https?://[^\s]+,141552312,http://www.microsoft.com0,Ascii,,
网站URL,^https?://[^\s]+,155863152,http://www.microsoft.com0,Ascii,,
网站URL,^https?://[^\s]+,174132816,http://schemas.microsoft.com/winfx/2006/xaml/presentation,Ascii,,
网站URL,^https?://[^\s]+,186613792,https://www.virtualbox.org/ ,Ascii,,
网站URL,^https?://[^\s]+,206940027,https://www.verisign.com/CPS04,Ascii,,
网站URL,^https?://[^\s]+,215677504,http://services.wmdrm.windowsmedia.comUB,Ascii,,
网站URL,^https?://[^\s]+,217511231,https://www.verisign.com; by E-mail at CPS-requests@verisign.com; or,Ascii,,
网站URL,^https?://[^\s]+,217512091,https://www.verisign.com/rpa0,Ascii,,
网站URL,^https?://[^\s]+,218556977,https://www.verisign.com; by E-mail at CPS-requests@verisign.com; or,Ascii,,
网站URL,^https?://[^\s]+,218557837,https://www.verisign.com/rpa0,Ascii,,
网站URL,^https?://[^\s]+,220238944,http://schemas.xmlsoap.org/ws/2006/02/devprof,Ascii,,
网站URL,^https?://[^\s]+,222354656,http://schemas.microsoft.com/net/2007/09/windowswebservices/servicemodel/fault,Ascii,,
网站URL,^https?://[^\s]+,225597536,http://www.microsoft.com/provisioning/eaptlsconnectionpropertiesv1,Ascii,,
网站URL,^https?://[^\s]+,225597920,http://www.microsoft.com/provisioning/eaptlsuserpropertiesv1,Ascii,,
网站URL,^https?://[^\s]+,225598296,http://www.microsoft.com/provisioning/mschapv2connectionpropertiesv1,Ascii,,
网站URL,^https?://[^\s]+,225598704,http://www.microsoft.com/provisioning/mschapv2userpropertiesv1,Ascii,,
网站URL,^https?://[^\s]+,225599072,http://www.microsoft.com/provisioning/mspeapconnectionpropertiesv1,Ascii,,
网站URL,^https?://[^\s]+,227614784,http://www.w3.org/2003/05/soap-envelope/role/next,Ascii,,
网站URL,^https?://[^\s]+,227618272,http://schemas.xmlsoap.org/soap/actor/next,Ascii,,
网站URL,^https?://[^\s]+,228637888,http://www.w3.org/XML/1998/namespace,Ascii,,
网站URL,^https?://[^\s]+,230834288,http://www.microsoft.com/provisioning/mspeapuserpropertiesv1,Ascii,,
网站URL,^https?://[^\s]+,233158232,http://www.w3.org/2000/09/xmldsig#,Ascii,,
网站URL,^https?://[^\s]+,238539152,http://schemas.microsoft.com/ws/06/2004/policy/http,Ascii,,
网站URL,^https?://[^\s]+,238539560,http://schemas.microsoft.com/ws/2006/05/framing/policy,Ascii,,
网站URL,^https?://[^\s]+,238540056,http://schemas.xmlsoap.org/ws/2005/07/securitypolicy,Ascii,,
网站URL,^https?://[^\s]+,238540136,http://schemas.xmlsoap.org/ws/2004/08/addressing/policy,Ascii,,
网站URL,^https?://[^\s]+,238540192,http://www.w3.org/2006/05/addressing/wsdl,Ascii,,
网站URL,^https?://[^\s]+,238540256,http://schemas.microsoft.com/ws/06/2004/mspolicy/netbinary1,Ascii,,
网站URL,^https?://[^\s]+,238540336,http://schemas.xmlsoap.org/ws/2004/09/policy/optimizedmimeserialization,Ascii,,
网站URL,^https?://[^\s]+,238540440,http://schemas.xmlsoap.org/ws/2005/02/trust,Ascii,,
网站URL,^https?://[^\s]+,238541256,http://schemas.xmlsoap.org/ws/2004/09/mex,Ascii,,
网站URL,^https?://[^\s]+,238541320,http://schemas.xmlsoap.org/ws/2004/08/addressing/fault,Ascii,,
网站URL,^https?://[^\s]+,247774568,http://www.w3.org/2003/05/soap-envelope,Ascii,,
网站URL,^https?://[^\s]+,247774640,http://schemas.xmlsoap.org/ws/2005/04/discovery,Ascii,,
网站URL,^https?://[^\s]+,247774864,http://schemas.xmlsoap.org/ws/2004/08/addressing,Ascii,,
网站URL,^https?://[^\s]+,249289983,http://www.digicert.com/CPS0,Ascii,,
网站URL,^https?://[^\s]+,249290220,http://ocsp.digicert.com0O,Ascii,,
网站URL,^https?://[^\s]+,250656144,http://schemas.microsoft.com/ws/2005/05/addressing/none,Ascii,,
网站URL,^https?://[^\s]+,250925774,http://ocsp.verisign.com0,Ascii,,
网站URL,^https?://[^\s]+,252714200,http://www.microsoft.com0,Ascii,,
网站URL,^https?://[^\s]+,265924640,https://www.virtualbox.org/ ,Ascii,,
网站URL,^https?://[^\s]+,266490720,http://schemas.xmlsoap.org/ws/2005/04/discoveryg,Ascii,,
网站URL,^https?://[^\s]+,266491264,http://schemas.xmlsoap.org/ws/2005/04/discoveryg,Ascii,,
网站URL,^https?://[^\s]+,283963389,http://ocsp.verisign.com0,Ascii,,
网站URL,^https?://[^\s]+,283964304,http://ocsp.verisign.com0,Ascii,,
网站URL,^https?://[^\s]+,312799264,https://www.virtualbox.org/ ,Ascii,,
网站URL,^https?://[^\s]+,313434144,https://www.virtualbox.org/ ,Ascii,,
网站URL,^https?://[^\s]+,314073120,https://www.virtualbox.org/ ,Ascii,,
邮箱地址,"^[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[a-zA-Z]{2,}$",36164632,snmpinfo@microsoft.com,Ascii,,
